time	# 18965
1	5.59
1.1	5.71
1.2	5.72
1.3	5.43
1.4	5.21
1.5	5.16
1.6	5.06
1.7	4.82
1.8	4.63
1.9	4.53
2	4.42
2.1	4.24
2.2	4.1
2.3	4.01
2.4	3.92
2.5	3.8
2.6	3.7
2.7	3.64
2.8	3.59
2.9	3.51
3	3.45
3.1	3.44
3.2	3.43
3.3	3.38
3.4	3.37
3.5	3.39
3.6	3.4
3.7	3.39
3.8	3.4
3.9	3.44
4	3.46
4.1	3.46
4.2	3.47
4.3	3.5
4.4	3.51
4.5	3.49
4.6	3.47
4.7	3.47
4.8	3.44
4.9	3.39
5	3.35
5.1	3.33
5.2	3.29
5.3	3.24
5.4	3.2
5.5	3.18
5.6	3.15
5.7	3.12
5.8	3.09
5.9	3.08
6	3.06
6.1	3.04
6.2	3.03
6.3	3.03
6.4	3.03
6.5	3.04
6.6	3.06
6.7	3.1
6.8	3.14
6.9	3.19
7	3.24
7.1	3.29
7.2	3.33
7.3	3.37
7.4	3.4
7.5	3.42
7.6	3.42
7.7	3.41
7.8	3.38
7.9	3.34
8	3.29
8.1	3.23
8.2	3.17
8.3	3.1
8.4	3.04
8.5	2.97
8.6	2.91
8.7	2.85
8.8	2.8
8.9	2.75
9	2.72
9.1	2.68
9.2	2.66
9.3	2.64
9.4	2.63
9.5	2.62
9.6	2.63
9.7	2.65
9.8	2.68
9.9	2.72
10	2.78
10.1	2.85
10.2	2.94
10.3	3.03
10.4	3.13
10.5	3.24
10.6	3.35
10.7	3.46
10.8	3.56
10.9	3.66
11	3.76
11.1	3.84
11.2	3.92
11.3	3.99
11.4	4.06
11.5	4.13
11.6	4.19
11.7	4.25
11.8	4.32
11.9	4.4
12	4.49
12.1	4.59
12.2	4.7
12.3	4.82
12.4	4.95
12.5	5.09
12.6	5.23
12.7	5.38
12.8	5.52
12.9	5.66
13	5.78
13.1	5.9
13.2	6
13.3	6.07
13.4	6.13
13.5	6.17
13.6	6.18
13.7	6.17
13.8	6.13
13.9	6.07
14	5.99
14.1	5.88
14.2	5.75
14.3	5.6
14.4	5.43
14.5	5.24
14.6	5.04
14.7	4.83
14.8	4.61
14.9	4.37
15	4.13
15.1	3.89
15.2	3.65
15.3	3.41
15.4	3.18
15.5	2.97
15.6	2.79
15.7	2.63
15.8	2.5
15.9	2.41
16	2.36
16.1	2.34
16.2	2.35
16.3	2.39
16.4	2.44
16.5	2.5
16.6	2.56
16.7	2.62
16.8	2.67
16.9	2.72
17	2.75
17.1	2.77
17.2	2.78
17.3	2.78
17.4	2.76
17.5	2.74
17.6	2.72
17.7	2.69
17.8	2.66
17.9	2.64
18	2.63
18.1	2.64
18.2	2.66
18.3	2.71
18.4	2.77
18.5	2.86
18.6	2.97
18.7	3.11
18.8	3.26
18.9	3.42
19	3.6
19.1	3.78
19.2	3.98
19.3	4.17
19.4	4.36
19.5	4.57
19.6	4.76
19.7	4.93
19.8	5.09
19.9	5.25
20	5.4
20.1	5.51
20.2	5.61
20.3	5.72
20.4	5.79
20.5	5.82
20.6	5.84
20.7	5.86
20.8	5.86
20.9	5.82
21	5.76
21.1	5.72
21.2	5.66
21.3	5.58
21.4	5.49
21.5	5.42
21.6	5.34
21.7	5.23
21.8	5.15
21.9	5.1
22	5.02
22.1	4.9
22.2	4.82
22.3	4.78
22.4	4.72
22.5	4.64
22.6	4.58
22.7	4.53
22.8	4.48
22.9	4.42
23	4.38
23.1	4.34
23.2	4.3
23.3	4.26
23.4	4.23
23.5	4.18
23.6	4.14
23.7	4.11
23.8	4.09
23.9	4.07
24	4.07
24.1	4.06
24.2	4.05
24.3	4.07
24.4	4.11
24.5	4.12
24.6	4.11
24.7	4.12
24.8	4.17
24.9	4.22
25	4.24
25.1	4.27
25.2	4.31
25.3	4.32
25.4	4.32
25.5	4.3
25.6	4.32
25.7	4.35
25.8	4.34
25.9	4.3
26	4.27
26.1	4.27
26.2	4.27
26.3	4.25
26.4	4.22
26.5	4.22
26.6	4.2
26.7	4.17
26.8	4.15
26.9	4.12
27	4.06
27.1	3.99
27.2	3.92
27.3	3.88
27.4	3.85
27.5	3.78
27.6	3.71
27.7	3.66
27.8	3.6
27.9	3.5
28	3.42
28.1	3.38
28.2	3.34
28.3	3.28
28.4	3.21
28.5	3.18
28.6	3.16
28.7	3.15
28.8	3.14
28.9	3.15
29	3.16
29.1	3.17
29.2	3.17
29.3	3.2
29.4	3.23
29.5	3.23
29.6	3.25
29.7	3.27
29.8	3.3
29.9	3.32
30	3.36
30.1	3.41
30.2	3.46
30.3	3.51
30.4	3.58
30.5	3.65
30.6	3.74
30.7	3.85
30.8	3.98
30.9	4.1
31	4.22
31.1	4.36
31.2	4.52
31.3	4.66
31.4	4.79
31.5	4.93
31.6	5.08
31.7	5.19
31.8	5.27
31.9	5.33
32	5.38
32.1	5.39
32.2	5.36
32.3	5.35
32.4	5.34
32.5	5.29
32.6	5.22
32.7	5.22
32.8	5.21
32.9	5.15
33	5.1
33.1	5.11
33.2	5.11
33.3	5.06
